OrganizationName,Description,Category,Technologies,Topics,CompletedProjects,OrganizationWebsite,OrganizationURL,Logo
52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics.,Other,"web services , ogc standards , java , javascript , web","geoinformatics , sensor web , web-based geoprocessing , spatial data infrastructures , spatial information",1,http://52north.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4959751460880384/,lh3.googleusercontent.com/EePRUqX2zAFH7FYCmTbSNH8j_aDC9lCrNhpChS4GcwXDr7K-Wg50ufpUXJZt-issW7qzuNf7r8hzBAbYn6gE6e4YOff91aE
AboutCode,"Open Source for Open Source: software license, origin and packages discovery",Programming Languages and Development Tools,"python , c/c++ , javascript ,  shell script , static analysis","free and open source software  license and origin , package and dependencies licensing and origin , package vulnerabilities and security , code scan and matching , code analysis and spdx",4,http://aboutcode.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6448304984424448/,lh3.googleusercontent.com/haTk4dmmPTfmh1C2lb4QoD3ROLteROjlQ1kYTXcGO-UthIrGJUaZFmpku4kke_yz7r5A3nsbcrk19236GEONI8eL0U3wVZo
AerospaceResearch.net,Making Space Together,Science and Medicine,"python , c/c++ , vhdl , boinc","cubesats , space applications , software defined radio , distributed computing , simulations",6,http://aerospaceresearch.net/,https://summerofcode.withgoogle.com/archive/2017/organizations/6713622831038464/,lh3.googleusercontent.com/jOqR2rfJ6p_EPdLbOuSw71p0ZmGN2zsbYxcCNfzEerjClNBNTQ5JgcmY489bhCAyfBK1-s-ahmriz7XwGDgWLVlepO11LA
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""",Programming Languages and Development Tools,"python ,  javascript , machine learning , artificial intelligence , java","artificial intelligence , machine learning , education",4,https://github.com/aimacode/,https://summerofcode.withgoogle.com/archive/2017/organizations/6119722806411264/,lh3.googleusercontent.com/JzxNOZ9XiaGBC_TOJMYQIjaBB0Pzf7HZZOLiE3rzb8vHWQfQjVVgaFK7h42tCFkPJ10KKnhl_6KmaiMMP8RWJb6JNsRzTVE
Amahi,Making Home Networking and Storage Simple,Operating Systems," android , golang , restful api , streaming , ruby on rails","home servers , networking , storage , webapps , mobile streaming",3,https://www.amahi.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6673844588773376/,lh3.googleusercontent.com/3Ed5KX1Vev4zvWcYgqhvz-CUf-sEIPFhr-RKd83AQe2-eKVEHNaUXNcZaL9DTV9nNLylT8wmw4ByVB8UTOtgZw6tfdApDnNZ
AOSSIE - Australian Open Source Software Innovation and Education,Umbrella Org for Open-Source Projects in Australia,Science and Medicine,"scala , javascript/html/css , automated reasoning , android/ios , xcode","logic , electronic voting , natural language processing , philosophy , environment",13,http://www.aossie.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4780102642565120/,lh3.googleusercontent.com/tosbibSE_nLmbQ-M05qQpShZDErKCZ9DyMVXrF-wJZopzCiMFGudoQkLc-26hOd7CNVoDxgiOmLE9bkWmvBLhLTnGYnuag
Apache Software Foundation,Providing open source software to the public free of charge,Other,"java , c , erlang","cloud , libraries , big data",23,http://www.apache.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4633151007621120/,lh3.googleusercontent.com/9iOQHZ9QgxI1iCF1J6q7tW0LNpuMzwnSv7Oc5J7CEZcSrcB-wdupjpNjmDh_4TsXky518zS6j9CAKvr_K6My1T3xArsW0ZY
Apertium,Free/open-source rule-based machine translation,Other,"c++ , xml , python , nlp","natural language processing , machine translation , lesser-resourced languages",10,http://www.apertium.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6618812501721088/,lh3.googleusercontent.com/SPljiVBrmtAFHDkqkh6GT_UoPnM8yFylK6D3Nou7YupOKnxe4CzGCPbcHdODfn9u0HmQY1uAkaEod1VJttz3I2GXzW8W8bs
Apertus Association,Open Technology for Professional Film Production,Graphics / Video / Audio / Virtual Reality,"fpga , vhdl , c , linux , c++","video , camera , vision , real time , photography",1,http://www.apertus.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6354847569805312/,lh3.googleusercontent.com/Um0KGRuPLrwm2mUc6CJTCRV3Ng7c2OOgApOlcSbrQwGRRCIfArXQWowVXmL3CT00HHJ4IaMLTKGaOqqS_g0a0uKzBjAm9w
appleseedhq,A modern open source rendering engine for animation and visual effects,Graphics / Video / Audio / Virtual Reality,"c++ , python , qt"," computer graphics , 3d , rendering , animation , vfx",3,http://appleseedhq.net/,https://summerofcode.withgoogle.com/archive/2017/organizations/6110372931043328/,lh3.googleusercontent.com/Z-oZMDK7uhRPfak-x0CKMQiEtUe0UmLdGs9NrGTmXl3AQairQnGqbUagRSYjFAn6gWMX7fXqH-kPfGbl5giCWvGLDv_vFw
ArduPilot,The worlds most advanced open source autopilot,Other,"c++ , python , embedded , rtos , ros","autopilot , robotics , uav , drones , rovers",3,http://www.ardupilot.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5801067908431872/,lh3.googleusercontent.com/amcm6L26zzZQI90cwbuqPYL3P918vY0f9Cd1UMFvUAXGwIQp9UfZngktrwPdh8N8m8uBQJEbQb2jo4OJFwohhD-HdzQ31D8
Babel,"Babel, the community driven compiler for writing next generation JavaScript",Programming Languages and Development Tools,"javascript , babel , nodejs","compilers , ast , minifier , tc39",2,https://babeljs.io/,https://summerofcode.withgoogle.com/archive/2017/organizations/5933754749026304/,lh3.googleusercontent.com/SgPfGA3yKtXE8SpqyNFL0dPQlQbXYbawc4QS2A8UvG6pdZvw4zwPECNCkbNVtZ6nXyYIxDDxL_lniJCM2GbrIgQEnLropJk
Bazel,Fast and correct build system for Google scale,Programming Languages and Development Tools,"java , linux , go","development tools , build systems",0,https://bazel.build,https://summerofcode.withgoogle.com/archive/2017/organizations/5765787168014336/,lh3.googleusercontent.com/9-qn7H5zPiovr1QqqC2PyVVaXMz3LaEi0A8BichLqe6LcNFvX6gX5bqN-RzweBjbMfgXMay_JidYt_Swo2qy3gKTygxREmE
BeagleBoard.org Foundation,"open hardware physical computing for makers, educators and professionals",Programming Languages and Development Tools,"javascript , linux , beaglebone , python , c","real time , robotics , iot , physical computing , coprocessing",6,https://beagleboard.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5370804795604992/,lh3.googleusercontent.com/mGz-YlOq-jcjzsNxad6Vfj7Y4UG4ThDaWury4q4Tiv-zXNHiHVz8j4OAa8pa2w05Dwo6GpbnNRzTSY_2czSq4rS6hXuCCg
Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM",Programming Languages and Development Tools,"erlang , elixir , lisp , xmpp","realtime , communication system , database , clustering",7,https://beamcommunity.github.io/,https://summerofcode.withgoogle.com/archive/2017/organizations/5344914732744704/,lh3.googleusercontent.com/iMFEDCnS6c8vxlAemq7cvE2bJzVzsb9KSmNoB4kc85lWByQvUiqubY6OEFHCg2cG1796y9SNIAUK7xqLljMgX2zwY4NwvjY
BeeWare Project,The IDEs of Python. Tools for cross-platform Python application development.,Programming Languages and Development Tools,"python , mobile , ios , android","ui , ide , cross-platform",3,http://pybee.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5213454373748736/,lh3.googleusercontent.com/LJhQB0OdkDuv3SBSDqwNwQ0kNFoTK6XTPXQ-wnzjnk2zkR9LhWPfRzNnmkCxdJQILveOdfONAU33m5ANiKZNBApH9r0n9jTp
Berkman Klein Center for Internet and Society at Harvard University,"exploring cyberspace, sharing in its study & pioneering its development",Web,"ruby on rails , meteor.js , d3 , elasticsearch , javascript ","digital rights , internet access , security and privacy , law ,  web",5,https://cyber.harvard.edu,https://summerofcode.withgoogle.com/archive/2017/organizations/5825274612547584/,lh3.googleusercontent.com/uvU5l_6u9M_SYC9mGCJC-fXCYJhqc-50Anw2rmidwsxlK_vZeu5YPmpUzbmkNpHfGO1ZcZ1XxjyUBbVK79QPhPXAFnP00A
Blender Foundation,Free and open source 3D creation for artists and teams,Graphics / Video / Audio / Virtual Reality,"opengl , opencl , python , c , c++","3d , animation , graphics , modeling , vfx",5,http://www.blender.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6461479528169472/,lh3.googleusercontent.com/njV-87RE7bIfiAC9KEzj9Cfj2m33CKm2NcbEUtl56Ffrx1KlBSk4dJYmJwD30wTb75-789v-lGqcVcj9_Qwov_g8jeY3xxE
Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries.,Programming Languages and Development Tools,"c++ , c++11 , c++14 , boost",library,4,http://www.boost.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5196100961042432/,lh3.googleusercontent.com/urAs-QWUrTgh7XLXurIQjvWSmHKqejI6qQMsPoFdjOUxzD8HJX3QDz-mU7J4RAF83OCk55Pm9LAfpbG4VwxEonyJUtMYWFTe
Boston University / XIA,Crowdsourcing the future Internet,Cloud,"xia ,  linux kernel ,  c ,  advanced data structures","computer networking ,  future internet architecture ,  research",2,https://github.com/AltraMayor/XIA-for-Linux/wiki,https://summerofcode.withgoogle.com/archive/2017/organizations/4874213160648704/,lh3.googleusercontent.com/tzTctC99XjApWD7h0VSjs0e9X5_SupHffRlit1mZ-VecTe5A6gSzlu9ewgRoD_YrAMmbAy6I5UcsRcUaf9nk9eLmFldCjjw
BRL-CAD,"& LibreCAD, OpenSCAD, STEPcode, LinuxCNC, FreeCAD, & Slic3r!  Computer Graphics.",Graphics / Video / Audio / Virtual Reality,"c/c++ , opencl , python , javascript , qt","cad , geometry , 3d , ray tracing , visualization",8,http://brlcad.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5302987798872064/,lh3.googleusercontent.com/mWrBNnqPMRg1CGoqk7qFw7x22WW4OfT5e-Lyb2rRQamZh4MKUZKIfHpGzyLwZD7zv9g8YYQPZ5UYspGTbmL4MFEjZiDTjg
Cadasta,"Transforming the way land & resource rights are documented, managed and stored.",End User Applications,"python , django , javasc , javascipt","web , land rights , mapping , geo , geospatial",1,http://cadasta.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6571413242642432/,lh3.googleusercontent.com/YGfrXJkJlSLrcsPG3bgmjIiRXthOVmkiGr5r4X2P6ehPEX3zKktgYwuScAcAtZJzjBOURAIEL3xSoVho00Oc7jmWDRbYaGE
